hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,wind_eligible,solar_eligible,wind_hard_stop,solar_hard_stop,wind_establishment_placement_score,solar_establishment_placement_score,wind_hard_stop_reasons,solar_hard_stop_reasons,wind_exclusion_reason,solar_exclusion_reason,grid_component,road_component,wind_settlement_component,solar_settlement_component,protected_component,culture_component,coastal_component,aviation_component,military_component,grid_distance_m,road_distance_m,settlement_distance_m,protected_distance_m,culture_distance_m,coastal_hard_distance_m,coastal_zone_distance_m,aviation_bird_distance_m,military_distance_m
891f2a6257bffff,9,10,7,False,False,True,True,68.04,75.04,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,1.0,0.7556,0.0,0.0,1.0,255.9,512.0,97.2,1525.8,680.0,2615.8,0.0,0.0,2998.7
891f2a62583ffff,9,10,7,False,False,True,True,60.1,66.86,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,1.0,1.0,0.0,0.0,0.8811,0.0,0.0,0.0,1.0,465.0,622.8,63.6,881.1,91.0,2539.4,0.0,0.0,4523.1
891f2a62587ffff,9,10,7,True,True,False,False,63.64,73.79,,,,,1.0,1.0,0.0,0.2065,0.8254,0.3866,0.2238,0.0,1.0,367.0,645.0,213.6,825.4,347.9,2877.9,223.8,0.0,4619.4
891f2a6258bffff,9,10,7,True,True,False,False,64.22,74.09,,,,,1.0,1.0,0.0,0.1596,1.0,0.2776,0.0,0.0,1.0,267.7,379.1,187.8,1029.8,249.8,2362.6,0.0,0.0,4222.4
891f2a6258fffff,9,10,7,True,True,False,False,64.27,74.3,,,,,1.0,1.0,0.0,0.1705,1.0,0.2537,0.0396,0.0,1.0,169.3,375.5,193.8,1138.9,228.3,2700.4,39.6,0.0,4314.2
891f2a62593ffff,9,10,7,False,False,True,True,58.69,64.84,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,0.5783,0.4294,0.0,0.0,1.0,760.9,555.2,142.8,578.3,386.5,2403.5,0.0,0.0,4734.5
891f2a62597ffff,9,10,7,True,True,False,False,63.11,72.86,,,,,1.0,1.0,0.0,0.1767,0.8201,0.4402,0.0783,0.0,1.0,663.1,533.6,197.2,820.1,396.2,2740.6,78.3,0.0,4823.8
891f2a6259bffff,9,10,7,False,False,True,True,60.87,67.33,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,0.7337,0.391,0.0,0.0,1.0,563.5,519.5,79.2,733.7,351.9,2201.0,0.0,0.0,4433.8
891f2a625a3ffff,9,10,7,True,True,False,False,66.81,78.75,,,,,1.0,1.0,0.0,0.3336,0.8255,0.4129,0.7169,0.0,1.0,12.6,429.6,283.5,825.5,371.6,3376.4,716.9,0.0,4561.2
891f2a625a7ffff,9,10,7,True,True,False,False,70.57,83.5,,,,,1.0,1.0,0.0701,0.4784,0.7926,0.5784,1.0,0.0,1.0,82.4,206.9,363.1,792.6,520.6,3714.7,1055.5,0.0,4716.5
